epoch,uptime_s,status,capacity,voltage_uv,time_to_empty_s,usb_online,ac_online,brightness,load1,pid,cpu_ticks,rss_kb,wifi,bluetooth
1787154581,71,Charging,62,4178000,8191,1,1,0,0.81,983,374,19332,down,down
1787154641,131,Discharging,63,4046000,8191,0,0,0,1.16,983,774,18376,down,down
1787154701,191,Discharging,63,4038000,8191,0,0,0,1.06,983,955,18364,down,down
1787154761,251,Discharging,63,4035000,8191,0,0,0,1.02,983,1137,18360,down,down
1787154821,311,Discharging,63,4032000,8191,0,0,0,1.00,983,1317,18336,down,down
1787154881,371,Discharging,63,4029000,8191,0,0,0,1.00,983,1498,18336,down,down
1787154941,432,Discharging,63,4027000,8191,0,0,0,1.05,983,1678,18336,down,down
1787155001,492,Discharging,64,4026000,8191,0,0,0,1.02,983,1860,18336,down,down
1787155062,552,Discharging,64,4024000,8191,0,0,0,0.94,983,2063,18392,down,down
1787155122,612,Discharging,64,4022000,8191,0,0,0,0.98,983,2236,18384,down,down
1787155182,672,Discharging,64,4020000,8191,0,0,0,1.12,983,2411,18328,down,down
1787155242,732,Discharging,64,4022000,8191,0,0,0,1.09,983,2596,18380,down,down
1787155302,792,Discharging,65,4021000,8191,0,0,0,1.08,983,2624,18380,down,down
1787155362,852,Discharging,65,4020000,8191,0,0,0,1.03,983,2653,18380,down,down
1787155422,912,Discharging,65,4018000,8191,0,0,0,1.01,983,2681,18380,down,down
1787155482,972,Discharging,65,4017000,8191,0,0,0,1.00,983,2709,18380,down,down
1787155542,1033,Discharging,65,4015000,8191,0,0,0,1.00,983,2738,18380,down,down
1787155602,1093,Discharging,65,4015000,8191,0,0,0,1.00,983,2766,18380,down,down
1787155663,1153,Discharging,65,4013000,8191,0,0,0,1.00,983,2794,18380,down,down
1787155723,1213,Discharging,66,4012000,8191,0,0,0,1.00,983,2823,18380,down,down
1787155783,1273,Discharging,66,4009000,8191,0,0,0,1.00,983,2851,18380,down,down
1787156603,2093,Discharging,68,3996000,1109,0,0,58,1.11,983,2974,18432,down,up
1787156663,2153,Discharging,68,3992000,1334,0,0,58,1.24,983,3098,18404,down,up
1787156723,2213,Discharging,68,3996000,8191,0,0,9,1.09,983,3277,18944,down,down
1787156783,2273,Discharging,68,3992000,1534,0,0,9,1.12,983,3436,18064,down,up
1787156843,2334,Discharging,68,3997000,8191,0,0,0,1.04,983,3640,17852,down,up
1787156904,2394,Discharging,68,3994000,8191,0,0,0,1.16,983,3815,17796,down,up
1787156964,2454,Discharging,68,3996000,8191,0,0,0,1.11,983,3993,17784,down,up
1787157024,2514,Discharging,68,3993000,8191,0,0,0,1.22,983,4178,17768,down,up
1787157084,2574,Discharging,68,3994000,8191,0,0,0,1.14,983,4353,17748,down,up
1787157144,2634,Discharging,68,3990000,8191,0,0,0,1.33,983,4536,17748,down,up
1787157204,2694,Discharging,68,3966000,8191,0,0,58,1.28,983,4837,18040,up,up
1787157264,2755,Discharging,68,3949000,8191,0,0,0,1.46,983,5134,17884,up,up
1787157325,2815,Discharging,68,3981000,8191,0,0,0,1.24,983,5348,18600,up,up
1787157385,2875,Discharging,68,3981000,8191,0,0,0,1.42,983,5523,18592,up,up
1787157445,2935,Discharging,68,3983000,8191,0,0,0,1.23,983,5697,18592,up,up
1787157505,2995,Discharging,68,3981000,8191,0,0,0,1.35,983,5874,18540,up,up
1787157565,3056,Discharging,68,3977000,8191,0,0,0,1.43,983,6074,17500,up,up
1787157626,3116,Discharging,68,3977000,8191,0,0,0,1.45,983,6281,18564,up,up
1787157686,3176,Discharging,68,3962000,1273,0,0,0,1.33,983,6674,18172,up,up
1787157746,3236,Discharging,68,3973000,2078,0,0,0,1.30,983,7053,17220,up,up
1787157806,3296,Discharging,68,3964000,1903,0,0,0,1.18,983,7226,17220,up,up
1787157866,3357,Discharging,68,3967000,8191,0,0,0,1.24,983,7402,17220,up,up
1787157927,3417,Discharging,68,3963000,1777,0,0,0,1.32,983,7582,17440,up,up
1787157987,3477,Discharging,68,3970000,8191,0,0,0,1.45,983,7948,18160,down,up
1787158047,3537,Discharging,67,3967000,8191,0,0,0,1.16,983,8138,18836,down,up
1787158107,3597,Discharging,67,3962000,8191,0,0,58,1.39,983,8363,18740,down,up
1787158167,3658,Discharging,67,3964000,1299,0,0,0,1.19,983,8541,17688,down,up
1787158228,3718,Discharging,67,3964000,1515,0,0,0,1.43,983,8713,17676,down,up
